
text,intent
Please book an car service to office.,get_a_ride
I'd like to book a swimming lesson.,activities
I have a complaint: room is too noisy.,negative_feedback
Please send toilet paper to my room.,housekeeping
Can you schedule a cooking class for me tomorrow?,activities
What are the current fees on my room?,billings
I need a ride to the airport in 30 minutes.,get_a_ride
What time is breakfast?,general_info
Please book an Uber to airport.,get_a_ride
I need assistance from staff right away.,handoff
I'd like to pay my fees now.,billings
What's the spa price list?,general_info
Can a human help me with this urgent matter?,handoff
Can you call a Lyft to the restaurant please?,get_a_ride
Are there any premium rooms available?,room_upgrade
Are there any painting workshop today?,activities
I have a complaint: Wi‑Fi is not working.,negative_feedback
Is it possible to upgrade my room for tomorrow?,room_upgrade
I'd like to book a spa treatment.,activities
I'd like to upgrade to a room on a higher floor.,room_upgrade
Please book an car service to mall.,get_a_ride
I want a room with a balcony instead of my current room.,room_upgrade
What's the spa price list?,general_info
Are there any gym session today?,activities
I want to speak to a person about my reservation.,handoff
Is the bar open tonight?,fnb
I'm unhappy because the there are bugs.,negative_feedback
What time is breakfast?,general_info
Is laundry service included?,general_info
Please send snacks later tonight.,fnb
Are there any dance class today?,activities
My room smells bad.,negative_feedback
Please send more pillows to my room.,housekeeping
The room is unacceptable due to bed sheets are dirty.,negative_feedback
My room is too noisy.,negative_feedback
What activities are available at the hotel?,activities
I need to speak to a manager about a special request.,handoff
I'd like to upgrade to a king room.,room_upgrade
Is the bar open tonight?,fnb
Please book an car service to hotel.,get_a_ride
What's on the dessert menu today?,fnb
Is pool included?,general_info
Can I switch to a suite?,room_upgrade
"I need soap, please.",housekeeping
Can I get a copy of my balance?,billings
My room needs cleaning.,housekeeping
I need assistance from staff right away.,handoff
Does the hotel have a spa?,general_info
I'd like to book a painting workshop.,activities
What's the gym schedule?,general_info
The towels are stained and I need it fixed.,negative_feedback
Can you schedule a painting workshop for me this evening?,activities
What activities are available at the hotel?,activities
I'd like to book a gym session.,activities
Arrange a cab for me this evening.,get_a_ride
My room is too noisy.,negative_feedback
The AC is not working and I need it fixed.,negative_feedback
Is there a shuttle to the city center?,get_a_ride
I need to review my balance.,billings
Can I switch to a family room?,room_upgrade
Could you bathroom cleaned?,housekeeping
My room needs tidying.,housekeeping
What activities are available at the hotel?,activities
Can you schedule a cooking class for me this afternoon?,activities
What time is dinner?,general_info
I have a complaint: AC is not working.,negative_feedback
Can I switch to a suite?,room_upgrade
My bed sheets are dirty.,negative_feedback
Could you bathroom cleaned?,housekeeping
Reserve me a spot in the painting workshop.,activities
What time is dinner?,general_info
Can I switch to a penthouse?,room_upgrade
What's the gym schedule?,general_info
Reserve me a spot in the painting workshop.,activities
I want to reserve a table at the hotel restaurant for tonight.,fnb
Can I switch to a deluxe room?,room_upgrade
I need a ride to the hotel at 5 am.,get_a_ride
What activities are available at the hotel?,activities
I need to speak to a manager about a emergency.,handoff
My room needs cleaning.,housekeeping
Can you call a car to the museum please?,get_a_ride
What's on the dinner menu today?,fnb
I need a ride to the mall now.,get_a_ride
What time is checkout?,general_info
Where is the bus stop?,general_info
Can you send me an invoice for my stay?,billings
I need a ride to the concert hall this evening.,get_a_ride
I'd like to pay my bill now.,billings
Can a human help me with this complaint?,handoff
Is the bar open tonight?,fnb
What activities are available at the hotel?,activities
My food is cold.,negative_feedback
Could you more pillows?,housekeeping
What taxes are included in my bill?,billings
Can you schedule a guided tour for me this evening?,activities
I need assistance from staff right away.,handoff
My room needs cleaning.,housekeeping
I have a complaint: service is slow.,negative_feedback
I need to speak to a manager about a issue.,handoff
Is it possible to upgrade my room for the rest of my stay?,room_upgrade
Please book an car service to downtown.,get_a_ride
Please send salad for breakfast tomorrow.,fnb
I have a complaint: room smells bad.,negative_feedback
Can you schedule a painting workshop for me this evening?,activities
Is spa included?,general_info
What time is check‑in?,general_info
Is gym included?,general_info
I'm unhappy because the water pressure is low.,negative_feedback
What's on the dessert menu today?,fnb
My room needs tidying.,housekeeping
I'm unhappy because the TV isn’t working.,negative_feedback
Please book an car service to museum.,get_a_ride
Does the hotel have a Wi‑Fi?,general_info
What's the spa price list?,general_info
Why was I charged for late checkout?,billings
Is the bar open tonight?,fnb
What's on the breakfast menu today?,fnb
Please provide fresh linens to my room.,housekeeping
This is urgent; I need a human agent.,handoff
I want to reserve a table at the hotel restaurant for tomorrow.,fnb
Can I switch to a king room?,room_upgrade
Please connect me to the concierge immediately.,handoff
What's on the dinner menu today?,fnb
Are there any massage today?,activities
Can I switch to a penthouse?,room_upgrade
The room is too noisy and I need it fixed.,negative_feedback
I’d like to talk to a person because the chatbot can't handle this.,handoff
Please explain this extra fee on my charges.,billings
I'd like to order tea sent up.,fnb
Could you bathroom cleaned?,housekeeping
The service is unacceptable due to service is slow.,negative_feedback
I have a complaint: bed sheets are dirty.,negative_feedback
I need a ride to the airport now.,get_a_ride
What time is dinner?,general_info
What time is breakfast?,general_info
Can you recommend a cocktail?,fnb
The food is unacceptable due to service is slow.,negative_feedback
Please provide bathroom cleaned to my room.,housekeeping
Please send fresh linens to my room.,housekeeping
Could you take out the trash?,housekeeping
I'd like to pay my invoice now.,billings
What activities are available at the hotel?,activities
Reserve me a spot in the massage.,activities
What are the current fees on my room?,billings
What's the spa price list?,general_info
Is there a shuttle to the station?,get_a_ride
What time is checkout?,general_info
I'd like to book a massage.,activities
Can I switch to a family room?,room_upgrade
The service is unacceptable due to towels are stained.,negative_feedback
Is the bar open this evening?,fnb
This is urgent; I need a human agent.,handoff
Please provide take out the trash to my room.,housekeeping
"I need take out the trash, please.",housekeeping
I want dinner for two.,fnb
I have a medical emergency; send help.,handoff
Does the hotel have a Wi‑Fi?,general_info
Where is the mall?,general_info
Why was I charged for late checkout?,billings
Can you schedule a gym session for me tomorrow?,activities
The service is unacceptable due to lights are flickering.,negative_feedback
I want a room on a higher floor instead of my current room.,room_upgrade
Can someone call me regarding this request?,handoff
Is there a shuttle to the city center?,get_a_ride
Is spa included?,general_info
"I need water bottles, please.",housekeeping
The staff was rude and I need it fixed.,negative_feedback
Are there any yoga class today?,activities
Is it possible to upgrade my room for tonight?,room_upgrade
Are there any spa treatment today?,activities
Could you take out the trash?,housekeeping
I want a penthouse instead of my current room.,room_upgrade
Are there any gym session today?,activities
Can housekeeping bring conditioner?,housekeeping
I want to reserve a table at the hotel restaurant for this evening.,fnb
I'm unhappy because the room smells bad.,negative_feedback
"I need make up my room, please.",housekeeping
